word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
:chapter,10,12,11,11,10,10,12,11,11,11,11,11,12,10,11,11,10
:1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:makes,11,3,1,1,1,1,2,1,0,1,2,2,2,1,3,0,3
:people,14,10,4,7,3,5,1,9,1,11,6,1,3,6,6,19,22
:unhappy,16,3,0,0,0,3,0,2,5,6,0,1,0,4,2,1,0
:animals,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
:happy,10,13,2,1,4,5,2,1,16,2,1,4,2,2,1,2,1
:long,4,4,2,2,7,3,3,3,1,2,4,0,6,3,0,2,1
:health,2,0,10,0,1,0,0,2,1,3,0,1,1,0,0,0,0
:enough,1,0,2,1,1,2,0,0,0,0,4,2,2,2,1,3,5
:eat,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0
:human,4,3,1,5,7,1,5,1,0,9,0,4,1,6,1,3,2
:beings,1,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0
:one,14,11,17,15,21,13,12,15,6,18,12,16,11,16,12,14,11
:feels,3,0,0,3,0,2,0,1,2,1,1,0,1,4,4,0,0
:ought,2,1,3,0,5,2,1,0,0,0,0,1,0,2,1,0,1
:modern,2,4,2,0,4,0,1,0,0,8,6,5,6,4,1,0,5
:world,6,13,8,16,9,3,11,3,4,17,3,3,5,5,5,8,9
:not,26,42,41,25,49,19,32,36,17,66,34,30,25,25,40,43,36
:least,1,0,1,1,2,0,2,0,1,1,1,4,0,0,0,2,0
:great,7,0,7,5,5,13,8,6,1,6,3,12,11,7,3,6,8
:majority,1,0,0,1,1,1,0,6,0,0,0,0,0,0,0,1,1
:cases,1,1,2,1,3,0,0,6,1,0,1,0,1,0,3,4,3
:you,14,2,2,8,11,6,16,2,17,5,4,6,8,19,13,38,20
:yourself,4,0,0,0,0,0,0,1,4,1,0,0,3,0,3,6,0
:probably,1,2,1,3,3,0,2,1,0,1,4,0,1,1,1,0,1
:prepared,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0
:admit,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0
:exceptional,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1
:ask,1,0,0,0,2,0,1,0,0,0,4,0,0,0,2,0,0
:many,6,5,5,5,9,3,3,6,3,8,2,3,4,0,6,3,9
:your,4,2,0,2,0,2,8,0,2,4,0,3,5,2,9,18,3
:friends,3,2,0,0,2,0,0,0,1,0,2,1,0,1,0,5,0
:reviewed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:teach,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0
:art,2,0,0,0,1,2,0,0,0,2,3,0,0,0,1,1,2
:reading,1,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,1
:faces,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:make,4,4,6,4,3,8,5,7,0,4,5,1,4,0,7,2,3
:receptive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:moods,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
:those,9,10,11,9,8,10,13,10,6,7,8,7,4,9,13,11,10
:whom,3,2,10,6,4,1,1,1,3,5,2,4,1,4,2,7,4
:meet,3,1,2,2,0,1,0,0,0,0,0,1,0,0,0,2,1
:course,4,5,4,3,4,5,4,3,2,4,2,3,2,2,4,5,7
:ordinary,4,0,0,0,1,0,0,0,1,0,0,0,3,2,4,0,4
:day,5,7,3,1,8,4,2,2,1,10,2,3,5,1,3,0,3
:mark,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:every,5,4,4,2,4,1,1,5,1,0,2,5,8,5,4,1,4
:face,1,0,0,2,0,0,1,1,0,1,1,1,2,1,0,1,0
:marks,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
:weakness,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
:woe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:says,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,0
:blake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
:though,5,6,6,3,4,6,1,2,1,1,2,1,1,4,2,0,1
:kinds,4,2,2,3,1,3,1,1,1,0,1,1,1,1,3,1,2
